Alias,Project Number,Subproject Number
"1175 Hyde Park Rd, London",02,
"332 Wellington Rd, London",45,
"352 Wellington Rd, London",45,
"2700 Tecumseh Rd W, Windsor",46,
"1310 Huron Church Rd, Windsor",46+,
"1340 Huron Church Rd, Windsor",46+,
"1370 Huron Church Rd, Windsor",46+,
"1475 Huron Church Rd, Windsor",46++,
"1600 Huron Church Rd, Windsor",46+++,
"315 Main St, Lucan",47,
"375 Daniel St S, Arnprior",48,
"1110 Goderich St, Port Elgin",49,
"1105 Wellington Rd, London",54,
"237 Clarke Rd E, Ingersoll",55,
"205 Renaud Line Rd, Belle River",56,
