Project Number,Project Name,Subproject Number,Subproject Name
00,PROJECT TEMPLATE,,No numbered subprojects (template phase folders: Design Development / Construction Stage / Coordinations)
02,HYDE PARK SQUARE,2.1,North Expansions
02,HYDE PARK SQUARE,2.2,No Frills
02,HYDE PARK SQUARE,2.3,Blessed Meats
02,HYDE PARK SQUARE,2.4,Vacant Unit
02,HYDE PARK SQUARE,2.5,Pre 2020
05,OXFORD WESTDEL CENTRE - 1919 OXFORD,5.1,Oxford Westdell Centre CRUs
05,OXFORD WESTDEL CENTRE - 1919 OXFORD,5.1,1919 & 1929 Oxford Demolition
06,FOREST EDGE CMNS. - 952 SOUTHDALE,6.1,JAAR Grading - Pre Phase 1
06,FOREST EDGE CMNS. - 952 SOUTHDALE,6.2,Forest Edge Commons - PH1
06,FOREST EDGE CMNS. - 952 SOUTHDALE,6.3,Forest Edge Place (Residential) (2580 Colonel Talbot)
06,FOREST EDGE CMNS. - 952 SOUTHDALE,6.4,Forest Edge Commons (CRU3) - PH2
06,FOREST EDGE CMNS. - 952 SOUTHDALE,6.5,Forest Edge Commons - Jabal Coffee House
06,FOREST EDGE CMNS. - 952 SOUTHDALE,6.6,Forest Edge Commons - PAK Food
08,875 WELLINGTON,8.1,Kunafa
08,875 WELLINGTON,8.2,Master Mechanics
08,875 WELLINGTON,8.3,Ice Flame
08,875 WELLINGTON,8.4,Fire & Flower - Wings Up
08,875 WELLINGTON,8.5,Pre 2020
10,ROSE CITY SC - 5050 TECUMSEH RD. - WINDSOR,10.1,CRU3 & 4
10,ROSE CITY SC - 5050 TECUMSEH RD. - WINDSOR,10.2,NO FRILLS
10,ROSE CITY SC - 5050 TECUMSEH RD. - WINDSOR,10.3,7 AM
10,ROSE CITY SC - 5050 TECUMSEH RD. - WINDSOR,10.4,Mr. Sub
12,SERENO - 15 CAPULET WK,12.1,Tower A & Parking Garage
21,ARIA NORTH - 420 FANSHAWE PARK RD E,21.1,2020 Construction
21,ARIA NORTH - 420 FANSHAWE PARK RD E,21.2,2021 Construction
21,ARIA NORTH - 420 FANSHAWE PARK RD E,21.3,Deficiency
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.1,GOODNESSME
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.2,2F (2A - FALCON TRAVEL)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.3,2F (2B - AON)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.4,2F (2C - IED)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.5,3F (3A - WCM)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.6,SPINCO
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.7,2F (2D - TBC)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.8,Wing Stop
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.9,Libro (By Tenant)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.10,RHC - MAC Unit (Dollarama)
43,HYLAND CENTRE - 1701-1737 RICHMOND ST,43.11,Beer store building
